class_id,sample_count,group,intra_variance,estimated_k,best_silhouette,bootstrap_k_std,bootstrap_mode_fraction
45,84,medium,0.27124324440956116,3,0.11324655264616013,0.8944271909999159,0.6
46,81,medium,0.2503838837146759,2,0.121377132833004,0.0,1.0
47,78,medium,0.21688354015350342,2,0.23901283740997314,0.0,1.0
48,75,medium,0.19950540363788605,3,0.12816286087036133,0.0,1.0
49,72,medium,0.2223474383354187,3,0.11111937463283539,0.4472135954999579,0.8
50,69,medium,0.2632506191730499,5,0.07673775404691696,2.3874672772626644,0.6
51,66,medium,0.29098695516586304,2,0.1028643250465393,0.8944271909999161,0.8
52,64,medium,0.10452373325824738,8,0.09822724759578705,0.8944271909999159,0.6
53,61,medium,0.2013012021780014,2,0.11029805988073349,0.0,1.0
54,59,medium,0.22744625806808472,5,0.12997905910015106,1.6431676725154984,0.4
55,56,medium,0.27608758211135864,2,0.10461629182100296,0.4472135954999579,0.8
56,54,medium,0.20579148828983307,2,0.11335037648677826,0.8944271909999159,0.8
57,52,medium,0.25309714674949646,2,0.12212297320365906,0.0,1.0
58,50,medium,0.20549345016479492,2,0.1044643223285675,0.0,1.0
59,48,medium,0.21978740394115448,6,0.09875629097223282,2.3874672772626644,0.2
60,46,medium,0.15238144993782043,2,0.14469492435455322,0.0,1.0
61,44,medium,0.18670882284641266,3,0.10180950909852982,1.9493588689617927,0.6
62,43,medium,0.20124076306819916,2,0.15122593939304352,0.8944271909999161,0.8
63,41,medium,0.24781550467014313,4,0.1102943867444992,1.3038404810405297,0.6
64,39,medium,0.2568618059158325,3,0.09110943228006363,2.5099800796022267,0.4
65,38,medium,0.3222919702529907,2,0.13484875857830048,0.0,1.0
66,36,few,0.25712156295776367,2,0.10196218639612198,0.0,1.0
67,35,few,0.25528648495674133,3,0.1812853068113327,0.8366600265340756,0.4
68,34,few,0.175565704703331,3,0.16872209310531616,0.4472135954999579,0.8
69,32,few,0.2544785737991333,3,0.1953861117362976,0.8366600265340756,0.4
70,31,few,0.20551151037216187,2,0.17435568571090698,0.0,1.0
71,30,few,0.1368246078491211,2,0.2716936767101288,0.5477225575051661,0.6
72,29,few,0.31171295046806335,2,0.12490111589431763,0.8944271909999159,0.8
73,27,few,0.23639608919620514,2,0.28181156516075134,0.0,1.0
74,26,few,0.27634793519973755,2,0.1022348403930664,0.0,1.0
75,25,few,0.2065170258283615,8,0.08436620980501175,1.7320508075688772,0.6
76,24,few,0.1793704777956009,2,0.11955896764993668,2.345207879911715,0.4
77,23,few,0.2694036364555359,2,0.12264248728752136,0.0,1.0
78,22,few,0.29196035861968994,2,0.13920512795448303,2.8284271247461903,0.4
79,22,few,0.2756447494029999,2,0.13388274610042572,0.44721359549995787,0.8
80,21,few,0.23306772112846375,2,0.06908601522445679,1.5165750888103102,0.4
81,20,few,0.1943741738796234,2,0.17562928795814514,0.0,1.0
82,19,few,0.20797759294509888,2,0.10068226605653763,1.8708286933869707,0.4
83,18,few,0.21168455481529236,4,0.1130458265542984,0.44721359549995787,0.8
84,18,few,0.25256890058517456,2,0.16214579343795776,2.3021728866442674,0.2
85,17,few,0.20052990317344666,6,0.15652091801166534,0.8944271909999159,0.6
86,16,few,0.26549577713012695,6,0.14841300249099731,1.1401754250991378,0.4
87,16,few,0.22174465656280518,3,0.15365144610404968,0.8366600265340756,0.4
88,15,few,0.18030761182308197,2,0.18686972558498383,0.4472135954999579,0.8
89,14,few,0.20639120042324066,3,0.11718419939279556,0.0,1.0
90,14,few,0.2549686133861542,3,0.10663298517465591,0.0,1.0
91,13,few,0.22631925344467163,2,0.1731274425983429,0.0,1.0
92,13,few,0.22550068795681,5,0.1708422601222992,0.4472135954999579,0.8
93,12,few,0.2971877157688141,2,0.20754440128803253,0.5477225575051662,0.6
94,12,few,0.1552063375711441,2,0.22822768986225128,0.0,1.0
95,11,few,0.16164596378803253,1,nan,nan,nan
96,11,few,0.21419858932495117,1,nan,nan,nan
97,10,few,0.2268867939710617,1,nan,nan,nan
98,10,few,0.21146826446056366,1,nan,nan,nan
99,10,few,0.30321162939071655,1,nan,nan,nan
